"Guess it's time to go to work now   at least it's Friday",0
"she leaves me today to go to Seattle  im not a happy camper right now...  Morning Twitts!!! ;)",0
"Slightly P-O'ed this morning that CW isn't renewing &quot;The Game&quot; and &quot;Everybody Hates Chris&quot;, now Tyra's the only sista holdin it down ",0
"i miss UK . wanna go back there ",0
"I just got off HEX.  Hope the Internet works tomorrow!",0
"@kirstyrawrr not really  it keept raining in Sydney and my hair got wet and it get so annoying Lol. How bout you?",0
"@philsherry I'm actually turning green here, I'm that jealous ",0
"@natalietran sounds good..but stuck in Brisbane ",0
".@MyInnerJules oh sorry i wasn't saying that, just that American society is violent ",0
"#followfriday no idea what it is or why but I joined a cue once because I thought it might be something good and it was for cheap bananas ",0
"OMG.........Another day of rain.  5 Stright days in a row.  And of course this weekend I pick to have a Yard Sale.  ",0
"isn't feeling to wonderful ",0
"It really sucks that one can not customize UIKeyboardTypeNumberPad  Have to draw my own keyboard bah!",0
"@NiallBlackburn ah gutted I was hoping I'd be back in time for that, whats up with having it so early  *is grumpy*",0
"@MissTrueStar too much information ",0
"i think i sprained my ankle ",0
"stuck at the airport in jax because of troubles with a flight before us....and that affects our flights ",0
"@CatherineDay Sad face  Still, getting it repierced should be fun, scar tissue an' all.... ouch :S",0
"The rain messed up my decorated car ",0
"trying 2 paint nails, decides to stalk amanda on twitter only to find she doesn't exist to her  dreams slowly die",0
"@Satise01 dunno if im gonna go now, cba LOL gonna be another boring weekend. ",0
"Windstream Internet is still down.  I was on the phone with them an hour yesterday! What to do today without Internet?!?",0
"I'm working out then going into the office on this beautiful day ",0
"Have to work all Memorial Day weekend ",0
"@Tripdash Oh jeez.. Tell him all the best from me ",0
"has much to do today.  And missing a field trip ",0
"Ugh...such a hangover ",0
"Is just confused... and sad... David is no longer the Doctor!! *cries* The 10th Doctor's reign is over.  Bring on Matt Smith!",0
"it's raining ",0
"http://twitpic.com/5oq7k Testing twitpic, I can't make it work from mobile ",0
"So kings has been cancelled  someones gonna burn for that one.....lol",0
"@hieuieez very true u havent been on for a while and also havent blogged ",0
"@bbombf yea i no ",0
"One more business day before grades are due    Six &quot;items&quot; left to grade. Hoping to have only one left by the end of the day.",0
"Off school again ;D &amp;+ Mwaahh ha ha haaa, on my brothers lappy...crap...they're home now  bummer people, absolute bummer. x",0
"@lohigh420 maryjane and i are thinking of you honey!  dont worry a three dayer is headed your way and then its on like donkey kong!",0
"We are now blocking wikispaces. Must send links to your specific wiki for it to become unblocked ",0
"Oh hey strep throat. Thanks for ruining my weekend. ",0
"@kidsfashion having trouble finding my KFR email  If I am not too late would you mind sending to me again!? Ill get on it right away.",0
"@PoloBandit my laptop is actin like its on crack, it was just fine last night now it wont start the right way ",0
